word;POS;BH_definition;MH_definition;cosine_distance;Biblical_reference;verse;form_in_verse
ç¸æ·è;verb;to harvest;to be short, become shorter;0.585 (MULTI);Job.24.6;ÑéÓÔ ÑÜÙÜÕ ÙçæÙèÕ ÙçæÕèÕ ÕÛèÝ èéâ ÙÜçéÕ;ÙçæÙèÕ
Ô·Ü°ÞÕ¼ê;noun;mallet;pulsation;0.578 (MULTI);Judg.5.26;ÙÓÔ ÜÙêÓ êéÜ×àÔ ÕÙÞÙàÔ ÜÔÜÞÕê âÞÜÙÝ ÕÔÜÞÔ áÙáèÐ Þ×çÔ èÐéÕ ÕÞ×æÔ Õ×ÜäÔ èçêÕ;ÜÔÜÞÕê
Þ·æ°ä¼Õ¹ß;noun;treasure;conscience;0.618 (EN);Obad.1.6;ÐÙÚ à×äéÕ âéÕ àÑâÕ ÞæäàÙÕ;ÞæäàÙÕ
Ð¹«Þ¶ß;noun;master-workman;related to belief, loyalty, trust;0.694 (MULTI);Song.7.2;ÞÔ ÙäÕ äâÞÙÚ ÑàâÜÙÝ Ñê àÓÙÑ ×ÞÕçÙ ÙèÛÙÚ ÛÞÕ ×ÜÐÙÝ ÞâéÔ ÙÓÙ ÐÞß;ÐÞß
Þ´Þ°é¸Áç;noun;possession;interface;0.819 (EN);Zeph.2.9;ÜÛß ×Ù ÐàÙ àÐÝ ÙÔÕÔ æÑÐÕê ÐÜÔÙ ÙéèÐÜ ÛÙ ÞÕÐÑ ÛáÓÝ êÔÙÔ ÕÑàÙ âÞÕß ÛâÞèÔ ÞÞéç ×èÕÜ ÕÞÛèÔ ÞÜ× ÕéÞÞÔ âÓ âÕÜÝ éÐèÙê âÞÙ ÙÑÖÕÝ ÕÙêè ÒÕÙ ÒÕÙÙ Ùà×ÜÕÝ;ÞÞéç
Ð¶ç°Ó¸¼×;noun;fiery glow, sparkle;handgun, pistol, revolver;0.680 (EN);Isa.54.12;ÕéÞêÙ ÛÓÛÓ éÞéêÙÚ ÕéâèÙÚ ÜÐÑàÙ ÐçÓ× ÕÛÜ ÒÑÕÜÚ ÜÐÑàÙ ×äå;ÐçÓ×
ê¸¼çµã;noun;might;related to attacking, overpowering;0.736 (MULTI);Dan.11.17;Õ°Ù¸éÂµÝ ä¼¸à¸ÙÕ Ü¸ÑÕ¹Ð Ñ¼°ê¹ç¶ã Û¼¸Ü Þ·Ü°ÛÕ¼êÕ¹ Õ´ÙéÁ¸è´ÙÝ â´Þ¼Õ¹ Õ°â¸éÂ¸Ô Õ¼Ñ·ê Ô·à¼¸éÁ´ÙÝ Ù´ê¼¶ß ÜÕ¹ Ü°Ô·éÁ°×´Ùê¸Ô¼ Õ°Ü¹Ð ê·â²Þ¹Ó Õ°Ü¹Ð ÜÕ¹ ê´Ô°Ù¶Ô;Ñ¼°ê¹ç¶ã
ä°¼è·ç;noun;fragment;a chapter, a section;0.471 (MULTI);Isa.65.4;ÔÙéÑÙÝ ÑçÑèÙÝ ÕÑàæÕèÙÝ ÙÜÙàÕ ÔÐÛÜÙÝ Ñéè Ô×ÖÙè Õäèç ÕÞèç äÒÜÙÝ ÛÜÙÔÝ;Õäèç
Ò°¼è·Ý;noun;bone;gram;0.642 (MULTI);Pr.17.22;ÜÑ éÞ× ÙÙØÑ ÒÔÔ ÕèÕ× àÛÐÔ êÙÑé ÒèÝ;ÒèÝ
Þ»æ¸¼Ñ;noun;intrenchment;a shape, a situation, a state;0.567 (MULTI);Isa.29.3;Õ°×¸à´Ùê´Ù Û·Ó¼Õ¼è â¸Ü¸Ù´Ú° Õ°æ·è°ê¼´Ù â¸Ü·Ù´Ú° Þ»æ¼¸Ñ Õ·Ô²ç´ÙÞ¹ê´Ù â¸Ü·Ù´Ú° Þ°æ»è¹ê;Þ»æ¼¸Ñ
æ¹«Ô·è;noun;roof;a light;0.718 (EN);Gen.6.16;æÔè êâéÔ ÜêÑÔ ÕÐÜ ÐÞÔ êÛÜàÔ ÞÜÞâÜÔ Õäê× ÔêÑÔ ÑæÓÔ êéÙÝ ê×êÙÝ éàÙÝ ÕéÜéÙÝ êâéÔ;æÔè
ç°Ø·è;noun;incense;a locomotive;0.781 (EN);Jer.44.21;ÔÜÕÐ Ðê ÔçØè Ðéè çØèêÝ ÑâèÙ ÙÔÕÓÔ ÕÑ×æÕê ÙèÕéÜÝ ÐêÝ ÕÐÑÕêÙÛÝ ÞÜÛÙÛÝ ÕéèÙÛÝ ÕâÝ ÔÐèå ÐêÝ ÖÛè ÙÔÕÔ ÕêâÜÔ âÜ ÜÑÕ;ÔçØè
Ñ·¼è;noun;field;grain;0.547 (MULTI);Job.39.4;Ù×ÜÞÕ ÑàÙÔÝ ÙèÑÕ ÑÑè ÙæÐÕ ÕÜÐ éÑÕ ÜÞÕ;ÑÑè
